,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10,t-11,t-12,t-13,t-14,t-15,t-16,t-17,t-18,t-19,t-20,t-21,t-22,t-23,t-24,t-25,t-26,t-27,t-28,t-29,t-30,t-31,t-32,t-33,t-34,t-35,t-36
0,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807,-0.16295141242194933,-0.07903139267509462,-0.054904497834311505,0.0326413673611754,-0.047547136061885764,-0.04754156272864185,-0.047535997723128,0.49726630682743145,-0.3239797285809347,-0.04009280284828831
1,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807,-0.16295141242194933,-0.07903139267509462,-0.054904497834311505,0.0326413673611754,-0.047547136061885764,-0.04754156272864185,-0.047535997723128,0.49726630682743145,-0.3239797285809347
2,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807,-0.16295141242194933,-0.07903139267509462,-0.054904497834311505,0.0326413673611754,-0.047547136061885764,-0.04754156272864185,-0.047535997723128,0.49726630682743145
3,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807,-0.16295141242194933,-0.07903139267509462,-0.054904497834311505,0.0326413673611754,-0.047547136061885764,-0.04754156272864185,-0.047535997723128
4,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807,-0.16295141242194933,-0.07903139267509462,-0.054904497834311505,0.0326413673611754,-0.047547136061885764,-0.04754156272864185
5,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807,-0.16295141242194933,-0.07903139267509462,-0.054904497834311505,0.0326413673611754,-0.047547136061885764
6,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807,-0.16295141242194933,-0.07903139267509462,-0.054904497834311505,0.0326413673611754
7,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807,-0.16295141242194933,-0.07903139267509462,-0.054904497834311505
8,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807,-0.16295141242194933,-0.07903139267509462
9,-0.028909796899144524,-0.11115354707063607,-0.027641630846893417,-0.05075381551813696,0.20010419384147626,-0.04009280284828831,-0.04009280284828831,-0.04009280284828831,-0.07454704574226134,-0.18660333725965883,-0.3078516713222623,0.07599817145224619,0.024822420312300197,0.02524817004683766,0.025679541251882876,-0.09006701594740163,0.2105760931253251,0.22668180025866902,-0.1276157314424451,-0.1048458338416135,-0.1044276869625066,-0.10401490585453266,0.11760382450696616,-0.054912760215299006,0.006435855567427984,-0.10389117198593545,-0.10348522515169556,-0.1030844117054448,-0.10268863488782098,0.034856072369858104,0.0428530316195741,-0.0049476839363892244,0.2708248236911781,-0.07998926416397056,-0.07983013297923569,-0.07967226617394807,-0.16295141242194933
